Epoch 00100 | TrainSet_Loss 0.001946
Epoch 00200 | TrainSet_Loss 0.000767
Epoch 00300 | TrainSet_Loss 0.000808
Epoch 00400 | TrainSet_Loss 0.000732
Epoch 00500 | TrainSet_Loss 0.000566
Epoch 00600 | TrainSet_Loss 0.000331
Epoch 00700 | TrainSet_Loss 0.000287
Epoch 00800 | TrainSet_Loss 0.000268
Epoch 00900 | TrainSet_Loss 0.000249
Epoch 01000 | TrainSet_Loss 0.000230
Epoch 01100 | TrainSet_Loss 0.000221
Epoch 01200 | TrainSet_Loss 0.000204
Epoch 01300 | TrainSet_Loss 0.000192
Epoch 01400 | TrainSet_Loss 0.000178
Epoch 01500 | TrainSet_Loss 0.000173
Epoch 01600 | TrainSet_Loss 0.000169
Epoch 01700 | TrainSet_Loss 0.000165
Epoch 01800 | TrainSet_Loss 0.000160
Epoch 01900 | TrainSet_Loss 0.000155
Epoch 02000 | TrainSet_Loss 0.000151
74858.46744012833
