Epoch 00100 | TrainSet_Loss 0.001585
Epoch 00200 | TrainSet_Loss 0.000958
Epoch 00300 | TrainSet_Loss 0.000566
Epoch 00400 | TrainSet_Loss 0.000548
Epoch 00500 | TrainSet_Loss 0.000381
Epoch 00600 | TrainSet_Loss 0.000317
Epoch 00700 | TrainSet_Loss 0.000253
Epoch 00800 | TrainSet_Loss 0.000236
Epoch 00900 | TrainSet_Loss 0.000220
Epoch 01000 | TrainSet_Loss 0.000206
Epoch 01100 | TrainSet_Loss 0.000197
Epoch 01200 | TrainSet_Loss 0.000186
Epoch 01300 | TrainSet_Loss 0.000191
Epoch 01400 | TrainSet_Loss 0.000167
Epoch 01500 | TrainSet_Loss 0.000166
Epoch 01600 | TrainSet_Loss 0.000168
Epoch 01700 | TrainSet_Loss 0.000157
Epoch 01800 | TrainSet_Loss 0.000154
Epoch 01900 | TrainSet_Loss 0.000150
Epoch 02000 | TrainSet_Loss 0.000146
82891.57500743866
