Epoch 00100 | TrainSet_Loss 0.001905
Epoch 00200 | TrainSet_Loss 0.001155
Epoch 00300 | TrainSet_Loss 0.000625
Epoch 00400 | TrainSet_Loss 0.000798
Epoch 00500 | TrainSet_Loss 0.000649
Epoch 00600 | TrainSet_Loss 0.000664
Epoch 00700 | TrainSet_Loss 0.000244
Epoch 00800 | TrainSet_Loss 0.000225
Epoch 00900 | TrainSet_Loss 0.000212
Epoch 01000 | TrainSet_Loss 0.000203
Epoch 01100 | TrainSet_Loss 0.000237
Epoch 01200 | TrainSet_Loss 0.000202
Epoch 01300 | TrainSet_Loss 0.000180
Epoch 01400 | TrainSet_Loss 0.000168
Epoch 01500 | TrainSet_Loss 0.000166
Epoch 01600 | TrainSet_Loss 0.000163
Epoch 01700 | TrainSet_Loss 0.000160
Epoch 01800 | TrainSet_Loss 0.000157
Epoch 01900 | TrainSet_Loss 0.000154
Epoch 02000 | TrainSet_Loss 0.000150
78804.86947870255
