Epoch 00100 | TrainSet_Loss 0.001996
Epoch 00200 | TrainSet_Loss 0.000808
Epoch 00300 | TrainSet_Loss 0.000503
Epoch 00400 | TrainSet_Loss 0.000508
Epoch 00500 | TrainSet_Loss 0.000476
Epoch 00600 | TrainSet_Loss 0.000495
Epoch 00700 | TrainSet_Loss 0.000264
Epoch 00800 | TrainSet_Loss 0.000252
Epoch 00900 | TrainSet_Loss 0.000240
Epoch 01000 | TrainSet_Loss 0.000225
Epoch 01100 | TrainSet_Loss 0.000236
Epoch 01200 | TrainSet_Loss 0.000211
Epoch 01300 | TrainSet_Loss 0.000196
Epoch 01400 | TrainSet_Loss 0.000182
Epoch 01500 | TrainSet_Loss 0.000179
Epoch 01600 | TrainSet_Loss 0.000176
Epoch 01700 | TrainSet_Loss 0.000173
Epoch 01800 | TrainSet_Loss 0.000171
Epoch 01900 | TrainSet_Loss 0.000167
Epoch 02000 | TrainSet_Loss 0.000163
82214.55398821831
