Epoch 00100 | TrainSet_Loss 0.001856
Epoch 00200 | TrainSet_Loss 0.000861
Epoch 00300 | TrainSet_Loss 0.001015
Epoch 00400 | TrainSet_Loss 0.000687
Epoch 00500 | TrainSet_Loss 0.000532
Epoch 00600 | TrainSet_Loss 0.000681
Epoch 00700 | TrainSet_Loss 0.000270
Epoch 00800 | TrainSet_Loss 0.000253
Epoch 00900 | TrainSet_Loss 0.000239
Epoch 01000 | TrainSet_Loss 0.000241
Epoch 01100 | TrainSet_Loss 0.000215
Epoch 01200 | TrainSet_Loss 0.000212
Epoch 01300 | TrainSet_Loss 0.000216
Epoch 01400 | TrainSet_Loss 0.000202
Epoch 01500 | TrainSet_Loss 0.000198
Epoch 01600 | TrainSet_Loss 0.000192
Epoch 01700 | TrainSet_Loss 0.000187
Epoch 01800 | TrainSet_Loss 0.000183
Epoch 01900 | TrainSet_Loss 0.000180
Epoch 02000 | TrainSet_Loss 0.000175
82771.81549882889
