Epoch 00100 | TrainSet_Loss 0.003243
Epoch 00200 | TrainSet_Loss 0.000825
Epoch 00300 | TrainSet_Loss 0.000561
Epoch 00400 | TrainSet_Loss 0.000410
Epoch 00500 | TrainSet_Loss 0.000762
Epoch 00600 | TrainSet_Loss 0.000459
Epoch 00700 | TrainSet_Loss 0.000218
Epoch 00800 | TrainSet_Loss 0.000207
Epoch 00900 | TrainSet_Loss 0.000197
Epoch 01000 | TrainSet_Loss 0.000187
Epoch 01100 | TrainSet_Loss 0.000187
Epoch 01200 | TrainSet_Loss 0.000183
Epoch 01300 | TrainSet_Loss 0.000171
Epoch 01400 | TrainSet_Loss 0.000164
Epoch 01500 | TrainSet_Loss 0.000162
Epoch 01600 | TrainSet_Loss 0.000160
Epoch 01700 | TrainSet_Loss 0.000157
Epoch 01800 | TrainSet_Loss 0.000154
Epoch 01900 | TrainSet_Loss 0.000153
Epoch 02000 | TrainSet_Loss 0.000148
78359.78289628029
