Epoch 00100 | TrainSet_Loss 0.001984
Epoch 00200 | TrainSet_Loss 0.000722
Epoch 00300 | TrainSet_Loss 0.000489
Epoch 00400 | TrainSet_Loss 0.000495
Epoch 00500 | TrainSet_Loss 0.000561
Epoch 00600 | TrainSet_Loss 0.000460
Epoch 00700 | TrainSet_Loss 0.000243
Epoch 00800 | TrainSet_Loss 0.000226
Epoch 00900 | TrainSet_Loss 0.000214
Epoch 01000 | TrainSet_Loss 0.000204
Epoch 01100 | TrainSet_Loss 0.000186
Epoch 01200 | TrainSet_Loss 0.000185
Epoch 01300 | TrainSet_Loss 0.000181
Epoch 01400 | TrainSet_Loss 0.000159
Epoch 01500 | TrainSet_Loss 0.000155
Epoch 01600 | TrainSet_Loss 0.000152
Epoch 01700 | TrainSet_Loss 0.000148
Epoch 01800 | TrainSet_Loss 0.000145
Epoch 01900 | TrainSet_Loss 0.000142
Epoch 02000 | TrainSet_Loss 0.000137
81871.9491789341
