Epoch 00100 | TrainSet_Loss 0.002738
Epoch 00200 | TrainSet_Loss 0.000949
Epoch 00300 | TrainSet_Loss 0.000804
Epoch 00400 | TrainSet_Loss 0.000586
Epoch 00500 | TrainSet_Loss 0.000551
Epoch 00600 | TrainSet_Loss 0.000501
Epoch 00700 | TrainSet_Loss 0.000321
Epoch 00800 | TrainSet_Loss 0.000299
Epoch 00900 | TrainSet_Loss 0.000279
Epoch 01000 | TrainSet_Loss 0.000260
Epoch 01100 | TrainSet_Loss 0.000279
Epoch 01200 | TrainSet_Loss 0.000310
Epoch 01300 | TrainSet_Loss 0.000215
Epoch 01400 | TrainSet_Loss 0.000207
Epoch 01500 | TrainSet_Loss 0.000201
Epoch 01600 | TrainSet_Loss 0.000196
Epoch 01700 | TrainSet_Loss 0.000192
Epoch 01800 | TrainSet_Loss 0.000188
Epoch 01900 | TrainSet_Loss 0.000183
Epoch 02000 | TrainSet_Loss 0.000178
76076.43393659592
