Epoch 00100 | TrainSet_Loss 0.002199
Epoch 00200 | TrainSet_Loss 0.001600
Epoch 00300 | TrainSet_Loss 0.000962
Epoch 00400 | TrainSet_Loss 0.002241
Epoch 00500 | TrainSet_Loss 0.000889
Epoch 00600 | TrainSet_Loss 0.000762
Epoch 00700 | TrainSet_Loss 0.000490
Epoch 00800 | TrainSet_Loss 0.000451
Epoch 00900 | TrainSet_Loss 0.000422
Epoch 01000 | TrainSet_Loss 0.000407
Epoch 01100 | TrainSet_Loss 0.000381
Epoch 01200 | TrainSet_Loss 0.000373
Epoch 01300 | TrainSet_Loss 0.000381
Epoch 01400 | TrainSet_Loss 0.000333
Epoch 01500 | TrainSet_Loss 0.000329
Epoch 01600 | TrainSet_Loss 0.000324
Epoch 01700 | TrainSet_Loss 0.000319
Epoch 01800 | TrainSet_Loss 0.000311
Epoch 01900 | TrainSet_Loss 0.000301
Epoch 02000 | TrainSet_Loss 0.000293
Time cost 8378.18
