Epoch 00100 | TrainSet_Loss 0.002557
Epoch 00200 | TrainSet_Loss 0.001436
Epoch 00300 | TrainSet_Loss 0.001422
Epoch 00400 | TrainSet_Loss 0.001537
Epoch 00500 | TrainSet_Loss 0.000890
Epoch 00600 | TrainSet_Loss 0.001085
Epoch 00700 | TrainSet_Loss 0.000499
Epoch 00800 | TrainSet_Loss 0.000457
Epoch 00900 | TrainSet_Loss 0.000424
Epoch 01000 | TrainSet_Loss 0.000417
Epoch 01100 | TrainSet_Loss 0.000377
Epoch 01200 | TrainSet_Loss 0.000371
Epoch 01300 | TrainSet_Loss 0.000354
Epoch 01400 | TrainSet_Loss 0.000314
Epoch 01500 | TrainSet_Loss 0.000309
Epoch 01600 | TrainSet_Loss 0.000304
Epoch 01700 | TrainSet_Loss 0.000298
Epoch 01800 | TrainSet_Loss 0.000296
Epoch 01900 | TrainSet_Loss 0.000286
Epoch 02000 | TrainSet_Loss 0.000280
Time cost 8836.70
