Epoch 00100 | TrainSet_Loss 0.002293
Epoch 00200 | TrainSet_Loss 0.001487
Epoch 00300 | TrainSet_Loss 0.001037
Epoch 00400 | TrainSet_Loss 0.001214
Epoch 00500 | TrainSet_Loss 0.001348
Epoch 00600 | TrainSet_Loss 0.000656
Epoch 00700 | TrainSet_Loss 0.001332
Epoch 00800 | TrainSet_Loss 0.001058
Epoch 00900 | TrainSet_Loss 0.000820
Epoch 01000 | TrainSet_Loss 0.000638
Epoch 01100 | TrainSet_Loss 0.000612
Epoch 01200 | TrainSet_Loss 0.000506
Epoch 01300 | TrainSet_Loss 0.000503
Epoch 01400 | TrainSet_Loss 0.000421
Epoch 01500 | TrainSet_Loss 0.000410
Epoch 01600 | TrainSet_Loss 0.000401
Epoch 01700 | TrainSet_Loss 0.000392
Epoch 01800 | TrainSet_Loss 0.000384
Epoch 01900 | TrainSet_Loss 0.000374
Epoch 02000 | TrainSet_Loss 0.000362
Time cost 7592.04
