Epoch 00100 | TrainSet_Loss 0.002354
Epoch 00200 | TrainSet_Loss 0.001971
Epoch 00300 | TrainSet_Loss 0.001985
Epoch 00400 | TrainSet_Loss 0.000858
Epoch 00500 | TrainSet_Loss 0.000786
Epoch 00600 | TrainSet_Loss 0.001046
Epoch 00700 | TrainSet_Loss 0.000513
Epoch 00800 | TrainSet_Loss 0.000453
Epoch 00900 | TrainSet_Loss 0.000414
Epoch 01000 | TrainSet_Loss 0.000382
Epoch 01100 | TrainSet_Loss 0.000350
Epoch 01200 | TrainSet_Loss 0.000356
Epoch 01300 | TrainSet_Loss 0.000328
Epoch 01400 | TrainSet_Loss 0.000293
Epoch 01500 | TrainSet_Loss 0.000287
Epoch 01600 | TrainSet_Loss 0.000281
Epoch 01700 | TrainSet_Loss 0.000275
Epoch 01800 | TrainSet_Loss 0.000268
Epoch 01900 | TrainSet_Loss 0.000263
Epoch 02000 | TrainSet_Loss 0.000256
Time cost 11524.67
