Epoch 00100 | TrainSet_Loss 0.002897
Epoch 00200 | TrainSet_Loss 0.001386
Epoch 00300 | TrainSet_Loss 0.001458
Epoch 00400 | TrainSet_Loss 0.003613
Epoch 00500 | TrainSet_Loss 0.003094
Epoch 00600 | TrainSet_Loss 0.002700
Epoch 00700 | TrainSet_Loss 0.002360
Epoch 00800 | TrainSet_Loss 0.002103
Epoch 00900 | TrainSet_Loss 0.001826
Epoch 01000 | TrainSet_Loss 0.001606
Epoch 01100 | TrainSet_Loss 0.001553
Epoch 01200 | TrainSet_Loss 0.001372
Epoch 01300 | TrainSet_Loss 0.001577
Epoch 01400 | TrainSet_Loss 0.001200
Epoch 01500 | TrainSet_Loss 0.001175
Epoch 01600 | TrainSet_Loss 0.001147
Epoch 01700 | TrainSet_Loss 0.001120
Epoch 01800 | TrainSet_Loss 0.001093
Epoch 01900 | TrainSet_Loss 0.001062
Epoch 02000 | TrainSet_Loss 0.001033
Time cost 9080.16
