Epoch 00100 | TrainSet_Loss 0.003314
Epoch 00200 | TrainSet_Loss 0.002601
Epoch 00300 | TrainSet_Loss 0.001456
Epoch 00400 | TrainSet_Loss 0.001190
Epoch 00500 | TrainSet_Loss 0.002683
Epoch 00600 | TrainSet_Loss 0.001681
Epoch 00700 | TrainSet_Loss 0.000739
Epoch 00800 | TrainSet_Loss 0.000644
Epoch 00900 | TrainSet_Loss 0.000566
Epoch 01000 | TrainSet_Loss 0.000531
Epoch 01100 | TrainSet_Loss 0.000470
Epoch 01200 | TrainSet_Loss 0.000481
Epoch 01300 | TrainSet_Loss 0.000466
Epoch 01400 | TrainSet_Loss 0.000367
Epoch 01500 | TrainSet_Loss 0.000359
Epoch 01600 | TrainSet_Loss 0.000350
Epoch 01700 | TrainSet_Loss 0.000341
Epoch 01800 | TrainSet_Loss 0.000331
Epoch 01900 | TrainSet_Loss 0.000320
Epoch 02000 | TrainSet_Loss 0.000309
Time cost 8953.50
