Epoch 00100 | TrainSet_Loss 0.002909
Epoch 00200 | TrainSet_Loss 0.001882
Epoch 00300 | TrainSet_Loss 0.001616
Epoch 00400 | TrainSet_Loss 0.001094
Epoch 00500 | TrainSet_Loss 0.001362
Epoch 00600 | TrainSet_Loss 0.000911
Epoch 00700 | TrainSet_Loss 0.000601
Epoch 00800 | TrainSet_Loss 0.000547
Epoch 00900 | TrainSet_Loss 0.000506
Epoch 01000 | TrainSet_Loss 0.000468
Epoch 01100 | TrainSet_Loss 0.000432
Epoch 01200 | TrainSet_Loss 0.000392
Epoch 01300 | TrainSet_Loss 0.000407
Epoch 01400 | TrainSet_Loss 0.000347
Epoch 01500 | TrainSet_Loss 0.000340
Epoch 01600 | TrainSet_Loss 0.000334
Epoch 01700 | TrainSet_Loss 0.000326
Epoch 01800 | TrainSet_Loss 0.000318
Epoch 01900 | TrainSet_Loss 0.000309
Epoch 02000 | TrainSet_Loss 0.000301
Time cost 7464.29
