Epoch 00100 | TrainSet_Loss 0.003115
Epoch 00200 | TrainSet_Loss 0.001840
Epoch 00300 | TrainSet_Loss 0.001508
Epoch 00400 | TrainSet_Loss 0.001969
Epoch 00500 | TrainSet_Loss 0.001251
Epoch 00600 | TrainSet_Loss 0.003246
Epoch 00700 | TrainSet_Loss 0.002468
Epoch 00800 | TrainSet_Loss 0.002357
Epoch 00900 | TrainSet_Loss 0.002262
Epoch 01000 | TrainSet_Loss 0.002170
Epoch 01100 | TrainSet_Loss 0.002105
Epoch 01200 | TrainSet_Loss 0.002057
Epoch 01300 | TrainSet_Loss 0.002029
Epoch 01400 | TrainSet_Loss 0.001977
Epoch 01500 | TrainSet_Loss 0.001969
Epoch 01600 | TrainSet_Loss 0.001961
Epoch 01700 | TrainSet_Loss 0.001952
Epoch 01800 | TrainSet_Loss 0.001942
Epoch 01900 | TrainSet_Loss 0.001932
Epoch 02000 | TrainSet_Loss 0.001922
Time cost 9192.89
